Ordem;Funcao
1;Conduzi uma exploração abrangente de fontes de dados para um sistema de detecção de fraudes, buscando identificar informações pertinentes para a construção de um sistema de detecção de possíveis tentativas de fraude ou falta de pagamento de seguro saúde contratado para os funcionários de uma empresa.
1;Criei algoritmos de Web Scraping para navegar em diversos sites e plataformas, coletando informações específicas sobre os CNPJs das
1;empresas e seus respectivos proprietários.
1;Integrei o sistema com APIs de fontes de dados disponíveis para garantir a coleta abrangente e atualizada de dados.
1;Desenvolvi dashboards para fornecer insights abrangentes sobre atividades e padrões de fraude potenciais.
1;Conduzi análises preditivas para identificar grupos de alto risco e padrões indicativos de possíveis tentativas de fraude dentro de sinistros de seguro ou comportamento de segurados.
2;Trabalhei em um projeto de seguros de saúde, com foco na criação de um banco de dados abrangente que abriga extensos conjuntos de dados relativos aos históricos médicos dos segurados.
2;Colaborei com equipes multidisciplinares, incluindo médicos, analistas de dados e especialistas em seguros.
2;Desempenhei um papel fundamental na definição de métricas essenciais relacionadas aos custos de saúde e uso de serviços médicos.
2;Desenvolvi painéis personalizados que ofereciam insights sobre os padrões de uso dos segurados.
2;Conduzi análises preditivas para identificar grupos de alto risco propensos a incorrer em custos médicos substanciais.
2;Participei de todas as fases do desenvolvimento dos modelos de aprendizado de máquina.
3;Participei de um projeto centrado em engenharia de dados e consultoria.
3;Desenvolvi automações para extração de dados em Python.
3;Trabalhei em estreita colaboração com o cliente, obtendo insights sobre suas necessidades e requisitos específicos.
3;Desenvolvi soluções para extração de dados do SAP, garantindo integridade e qualidade.
3;Utilizei Python e SAP como ferramentas primárias para desenvolvimento de soluções.
3;Participei ativamente no processamento e transformação de dados para prepará-los para integração com o banco de dados do site da empresa cliente.
